"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Should drag and drop using evaluate()",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","context-menu.spec.js","Context Menu tests","","","Verify heading is displayed correctly",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","0","chromium","add-and-remove-elements.spec.js","Add and remove test page","","","Verify the ""Add Element"" button can be clicked and ""Delete"" button becomes visible",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Should drag and drop using mouse movements()",""
"failed","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","63","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify the header text",""
"failed","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","1","chromium","checkboxes.spec.js","Verify checkboxes page","","","Should verify the default states of checkbox",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Verify edit and delete links",""
"failed","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","1","chromium","basic-auth.spec.js","Verify Basic Authorization","","","Verify the heading",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should check if dropdown is visible and enabled",""
"failed","Sun Mar 16 14:21:35 UTC 2025","Sun Mar 16 14:21:35 UTC 2025","7","chromium","example.spec.js","","","","get started link",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Should drag and drop using hover() and mouse events",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","1","chromium","basic-auth.spec.js","Verify Basic Authorization","","","Verify the Content",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Canvas content changes when buttons are clicked",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Verify canvas element properties",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should not change selection for invalid option",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Verify colored buttons are present and clickable",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Verify table structure and content",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","0","chromium","broken-images.spec.js","Broken Images Page","","","Verify images and check for broken ones",""
"failed","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","1","chromium","dropdown.spec.js","Dropdown tests","","","Verify header text",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Should drag and drop using dispatchEvent()",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","checkboxes.spec.js","Verify checkboxes page","","","Should check and uncheck checkboxes",""
"failed","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","1","chromium","digest-auth.spec.js","Verify Digest Auth","","","Verify the heading",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should select an option from the dropdown",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should select option by visible text",""
"failed","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","1","chromium","context-menu.spec.js","Context Menu tests","","","Should display an alert on right-clicking the box",""
"failed","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","59","chromium","disappearing-elements.spec.js","Disappearing elements tests","","","Verify the header text",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","1","chromium","ab-test.spec.js","A/B Test Page","","","Verify body text explaining the test is displayed and has enough length",""
"skipped","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","0","chromium","checkboxes.spec.js","Verify checkboxes page","","","Should toggle checkboxes",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","0","chromium","broken-images.spec.js","Broken Images Page","","","Verify images are present on the page",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","0","chromium","add-and-remove-elements.spec.js","Add and remove test page","","","Verify the ""Delete"" button can be clicked and is hidden afterward",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Should drag and drop using dragTo()",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify dynamic content remains changed",""
"failed","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","1","chromium","drag-and-drop.spec.js","Drag and drop tests","","","Verify heading text",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify text changes after reload",""
